Judul,Sutradara,Genre,Produksi,Distributor,Penonton,Klasifikasi usia,Date,Rating
Alena Anak Ratu Iblis,Sonu Samtani,Horor,Arjuna Mega Films,Bioskop,86769.0,13+,2023-01-05,3.2
Puisi Cinta yang Membunuh,Garin Nugroho,Horor,Starvision Plus,Bioskop,52086.0,17+,2023-01-05,4.9
Hidayah,Monty Tiwa,Horor,Pichouse Films,Bioskop,333982.0,13+,2023-01-12,5.5
Anak Titipan Setan,Erwin Arnada,Horor,Produksi Film Negara,Bioskop,84166.0,17+,2023-01-12,5.2
The Day Before the Wedding,Razka Robby Ertanto,Drama,KlikFilm Productions,KlikFilm,,17+,2023-01-13,5.3
Layar,Ifa Isfansyah,Drama,KlikFilm Productions,KlikFilm,,13+,2023-01-13,9.0
Bayi Ajaib,Rako Prijanto,Horor,Falcon Black,Bioskop,434228.0,17+,2023-01-19,5.1
Balada Si Roy,Fajar Nugros,Drama,IDN Pictures,Bioskop,123564.0,13+,2023-01-19,7.2
Autobiography,Makbul Mubarak,Drama,KawanKawan Media,Bioskop,33407.0,17+,2023-01-19,7.3
Scandal Makers,Jeihan Angga,Drama,MD Pictures,Prime Video,,13+,2023-01-19,7.7
Mangkujiwo 2,Azhar Kinoi Lubis,Horor,MVP Pictures,Bioskop,555934.0,17+,2023-01-26,6.9
Adagium,Rizal Mantovani,Drama,Brainstorminc,Bioskop,41645.0,13+,2023-01-26,
"Jalan yang Jauh, Jangan Lupa Pulang",Angga Dwimas Sasongko,Drama,Visinema Pictures,Bioskop,866367.0,13+,2023-02-02,6.6
Tanpa Ampun,M. Yusuf,Laga,Triple A Films,Bioskop,20492.0,17+,2023-02-02,5.1
Tasbih Kosong,Arie Achmad Buang,Horor,786 Production,Bioskop,92477.0,13+,2023-02-02,7.5
Waktu Maghrib,Sidharta Tata,Horor,Rapi Films,Bioskop,2409112.0,17+,2023-02-09,6.0
Gita Cinta dari SMA,Monty Tiwa,Drama,Starvision Plus,Bioskop,75065.0,13+,2023-02-09,8.2
Dear David,Lucky Kuswandi,Drama,Palari Films,Netflix,,17+,2023-02-09,3.9
Cherish & Ruelle,Azhar Kinoi Lubis,Drama,KlikFilm Productions,KlikFilm,,17+,2023-02-10,6.6
Para Betina Pengikut Iblis,Rako Prijanto,Horor,Falcon Black,Bioskop,214585.0,21+,2023-02-16,4.2
Berbalas Kejam,Teddy Soeriaatmadja,Drama,Tiger Wong Entertainment,Prime Video,,17+,2023-02-16,6.4
Bismillah Kunikahi Suamimu,Benni Setiawan,Drama,MD Pictures,Bioskop,273231.0,13+,2023-02-23,5.3
Pesugihan: Bersekutu dengan Iblis,Hanny R. Saputra,Horor,Virgo Putra Film,Bioskop,248012.0,17+,2023-02-23,5.5
Kiko in the Deep Sea,"Sally Wongso, Heri Kurniawan, Dezi Ruwah Rezeki",Animasi,MNC Animation,Bioskop,28894.0,SU,2023-02-23,8.0
Panduan Mempersiapkan Perpisahan,Adriyanto Dewo,Drama,Relate Films,Bioskop Online,,17+,2023-02-24,6.6
Virgo and the Sparklings,Ody C. Harahap,Laga,Screenplay Bumilangit,Bioskop,67101.0,SU,2023-03-02,5.7
Kembang Api,Herwin Novianto,Drama,Falcon Pictures,Bioskop,35102.0,17+,2023-03-02,7.0
Perjanjian Gaib,Hadrah Daeng Ratu,Horor,Maxima Pictures,Bioskop,352740.0,17+,2023-03-09,5.7
Kun Ana Wa Anta,Rully Manna,Drama,DNA Productions,Bioskop,7006.0,SU,2023-03-09,4.4
"Glo, Kau Cahaya",Ani Ema Susanti,Drama,Bhuana Art Sinema,Bioskop,3100.0,SU,2023-03-09,
Zodiac: Apa Bintangmu?,Dinna Jasanti,Drama,Renee Pictures,Prime Video,,SU,2023-03-09,8.5
Iblis dalam Darah,Yannie Sukarya,Horor,Helroad Films,Bioskop,227168.0,13+,2023-03-16,7.7
Losmen Melati,"Mike Wiluan, Billy Christian",Horor,Infinite Studios,Bioskop,150240.0,17+,2023-03-16,5.6
Sukmailang,Rizqon Agustia Fahsa,Horor,Genia Visinema,Bioskop,,13+,2023-03-16,
Hantu Baru,Adink Liwutang,Horor,Keene Entertainment,Bioskop,14957.0,13+,2023-03-23,9.0
Jin Qorin,Ubay Fox,Horor,White Collar Pictures,Bioskop,89934.0,17+,2023-03-23,6.2
Tulah 6/13,Chiska Doppert,Horor,Her's Productions,Bioskop,200016.0,17+,2023-03-30,8.1
Surga di Bawah Langit,Pritagita Arianegara,Drama,Vista Optima Indonesia,Bioskop,22726.0,SU,2023-03-30,6.9
Teman Tidur,Ray Nayoan,Horor,Robagu Pictures,Bioskop,18786.0,17+,2023-03-30,
Pelet Tali Pocong,Dedy Mercy,Horor,Clockwork Films,Bioskop,141448.0,13+,2023-04-06,7.4
Kutukan Cakar Monyet,Ferry Lesmana,Horor,Jaman Studio,Bioskop,21428.0,13+,2023-04-06,8.9
Kartu Pos Wini,Tarmizi Abka,Drama,Sinemata Productions,Bioskop,5057.0,SU,2023-04-06,
Buya Hamka Vol. I,Fajar Bustomi,Drama,Falcon Pictures,Bioskop,1297791.0,SU,2023-04-19,6.7
Sewu Dino,Kimo Stamboel,Horor,MD Pictures,Bioskop,4886406.0,13+,2023-04-19,6.0
Khanzab,Anggy Umbara,Horor,Dee Company,Bioskop,1166706.0,13+,2023-04-19,4.6
Jin & Jun,Anggy Umbara,Komedi,MVP Pictures,Bioskop,76558.0,13+,2023-04-19,6.7
Hitmen,Anggy Umbara,Komedi,MD Pictures,Prime Video,,17+,2023-04-27,5.1
Dedemit: Diikuti Makhluk Halus,Hendra Sirajuddin,Horor,786 Production,Bioskop,100163.0,13+,2023-05-04,2.3
Angel: Kami Semua Punya Mimpi,Ivan Hamdhani Putra,Drama,Fast Films,Bioskop,7019.0,13+,2023-05-04,
Hello Ghost,Indra Gunawan,Komedi,Falcon Pictures,Bioskop,613212.0,13+,2023-05-11,6.3
Bukannya Aku Tidak Mau Nikah,Guntur Soeharjanto,Drama,Maxima Pictures,Bioskop,30482.0,13+,2023-05-11,9.0
Kajiman: Iblis Terkejam Penagih Janji,Adriyanto Dewo,Horor,Relate Films,Bioskop,149568.0,13+,2023-05-18,7.4
Hati Suhita,Archie Hekagery,Drama,Starvision Plus,Bioskop,506800.0,13+,2023-05-25,6.5
Jin Khodam,"Dedy Mercy, Tema Patrosza",Horor,786 Production,Bioskop,177193.0,13+,2023-05-25,9.0
LDR: Love Distance Relationshi*,George Timothy,Drama,Creative Goods Inc.,Maxstream,,,2023-05-31,
Detektif Jaga Jarak,Rahabi Mandra,Komedi,Temata Studios,Bioskop,8363.0,13+,2023-06-01,9.5
Spirit Doll,Azhar Kinoi Lubis,Horor,Blue Water Films,Bioskop,279072.0,13+,2023-06-01,3.9
Mbutik,Rizal Wimba,Drama,Darinol Production,Bioskop,3957.0,,2023-06-01,
Star Syndrome,Soleh Solihun,Drama,Mahakarya Pictures,Bioskop,36333.0,13+,2023-06-08,8.7
Kutukan Sembilan Setan,Arie Azis,Horor,PIM Pictures,Bioskop,252849.0,17+,2023-06-08,7.6
Onde Mande!,Paul Agusta,Drama,Visinema Pictures,Bioskop,124475.0,13+,2023-06-22,6.9
Sosok Ketiga,Dedy Mercy,Horor,Leo Pictures,Bioskop,1162291.0,17+,2023-06-22,7.8
200 Pounds Beauty,Ody C. Harahap,Komedi,MD Pictures,Prime Video,,13+,2023-06-22,6.7
Why Do You Love Me,Herwin Novianto,Drama,Max Pictures,Bioskop,61725.0,17+,2023-06-28,6.1
Ganjil Genap,Bene Dion,Drama,MD Pictures,Bioskop,107718.0,13+,2023-06-28,7.6
Tari Kematian,Bram Ferino,Horor,Afici Entertainment,Bioskop,54822.0,13+,2023-07-06,4.8
Kejar Mimpi Gaspol!,Hasto Broto,Drama,Anak Bangsa Berkreasi,Bioskop,66432.0,13+,2023-07-06,8.7
Kutukan Peti Mati,Irham Acho Bachtiar,Horor,Balai Pustaka,Bioskop,53822.0,13+,2023-07-20,
Jendela Seribu Sungai,Jay Sukmo,Drama,Radepa Studio,Bioskop,32393.0,SU,2023-07-20,9.6
Ketika Berhenti di Sini,Umay Shahab,Drama,Sinemaku Pictures,Bioskop,1604359.0,13+,2023-07-27,
Mantra Surugana,Dyan Sunu Prastowo,Horor,Peregrine Studios,Bioskop,112803.0,17+,2023-07-27,3.1
Hari Ini Akan Kita Ceritakan Nanti,Angga Dwimas Sasongko,Drama,Visinema Pictures,Netflix,,,2023-07-27,
Dunia Tanpa Suara,Hanung Bramantyo,Drama,MD Pictures,Prime Video,,,2023-07-27,
Suzzanna: Malam Jumat Kliwon,Guntur Soeharjanto,Horor,Soraya Intercine Films,Bioskop,2082569.0,13+,2023-08-03,5.7
Primbon,Rudi Soedjarwo,Horor,Maxima Pictures,Bioskop,281955.0,13+,2023-08-10,9.2
Dear Jo: Almost is Never Enough,"Monty Tiwa, Lakonde",Drama,MVP Pictures,Bioskop,28799.0,13+,2023-08-10,8.7
Catatan Si Boy,Hanung Bramantyo,Drama,MD Pictures,Bioskop,154374.0,13+,2023-08-17,4.9
Lantai 4,"Wahyu Nugroho, F.X. Purnomo",Horor,Kreasi Jingga,Bioskop,53366.0,17+,2023-08-17,3.4
After Life,Suroso MYS,Drama,KlikFilm Productions,KlikFilm,,13+,2023-08-18,
"Yang Patah Tumbuh, Yang Hilang Berganti",Herwin Novianto,Drama,Falcon Pictures,KlikFilm,,13+,2023-08-18,9.1
Siska the Movie,Mulyo HR,Drama,Prokompim Kabupaten Cirebon,Bioskop,2866.0,13+,2023-08-23,
Malam Pacar Mapacci,Andi Burhamzah,Drama,Timur Pictures,Bioskop,328608.0,13+,2023-08-24,7.6
Galaksi,Kuntz Agus,Drama,Rapi Films,Bioskop,421216.0,13+,2023-08-24,6.6
Puspa Indah Taman Hati,Monty Tiwa,Drama,Starvision Plus,Bioskop,33195.0,13+,2023-08-31,7.7
Susuk: Kutukan Kecantikan,Ginanti Rona,Horor,Visinema Pictures,Bioskop,417204.0,17+,2023-08-31,6.6
Sleep Call,Fajar Nugros,Cerita seru,IDN Pictures,Bioskop,335786.0,17+,2023-09-07,7.5
Orpa,Theo Rumansara,Drama,QUN Films,Bioskop,22464.0,13+,2023-09-07,9.2
Air Mata di Ujung Sajadah,Key Mangunsong,Drama,Beehave Pictures,Bioskop,3127671.0,13+,2023-09-07,7.3
Jomblo Fi Sabilillah,Jastis Arimba,Drama,Warna Pictures,Bioskop,23075.0,13+,2023-09-14,9.6
Aku Tahu Kapan Kamu Mati: Desa Bunuh Diri,Anggy Umbara,Horor,Unlimited Production,Bioskop,304925.0,17+,2023-09-14,7.4
Kisah Tanah Jawa: Pocong Gundul,Awi Suryadi,Horor,MD Pictures,Bioskop,1652862.0,13+,2023-09-21,7.0
Satu Hari dengan Ibu,Amrul Ummami,Drama,Ruang 29 Pictures,Bioskop,165765.0,SU,2023-09-21,4.7
Invalidite,Herwin Novianto,Drama,Falcon Pictures,Prime Video,,13+,2023-09-21,7.7
Mayflies,Eddy Prasetya,Drama,KlikFilm Productions,KlikFilm,,,2023-09-22,
Petualangan Sherina 2,Riri Riza,Laga,Miles Films,Bioskop,2413933.0,SU,2023-09-28,7.3
Di Ambang Kematian,Azhar Kinoi Lubis,Horor,MVP Pictures,Bioskop,3242244.0,17+,2023-09-28,6.6
"Ice Cold: Murder, Coffee and Jessica Wongso",Rob Sixsmith,Dokumenter,Beach House Pictures,Netflix,,18+,2023-09-28,6.0
Bangku Kosong: Ujian Terakhir,Lakonde,Horor,Starvision Plus,Bioskop,250755.0,17+,2023-10-05,7.3
Bangsatnya Cinta Pertama,Eugene Panji,Drama,Dogma Pictures,Bioskop,6702.0,13+,2023-10-05,
Teori Cakrawala,Ivan Oche,Drama,Filosofi Dunia Khayalan,Bioskop,346.0,13+,2023-10-05,
Janin Iblis Neraka,Joko Nugroho,Horor,White Collar Pictures,Bioskop,56066.0,17+,2023-10-12,
Pamali: Dusun Pocong,Bobby Prasetyo,Horor,Lyto Pictures,Bioskop,1440173.0,13+,2023-10-12,7.0
Indigo,Rocky Soraya,Horor,Hitmaker Studios,Bioskop,1015231.0,13+,2023-10-19,6.5
Imam Tanpa Makmum,Syakir Daulay,Komedi,Syakir Films,Bioskop,23005.0,13+,2023-10-19,
Mohon Doa Restu,Ody C. Harahap,Komedi,Screenplay Films,Bioskop,98547.0,SU,2023-10-26,6.6
Saranjana: Kota Ghaib,Johansyah Jumberan,Horor,DHF Entertainment,Bioskop,1087997.0,13+,2023-10-26,4.5
Wakaf,Adi Garin,Horor,Supermedia Pictures,Bioskop,216113.0,13+,2023-10-26,4.9
Budi Pekerti,Wregas Bhanuteja,Drama,Kaninga Pictures,Bioskop,579478.0,13+,2023-11-02,8.2
Nona Manis Sayange,Hestu Saputra,Drama,Putaar Film,Bioskop,9154.0,SU,2023-11-02,8.4
Kultus Iblis,Bobby Prasetyo,Horor,Starvision Plus,Bioskop,305009.0,17+,2023-11-02,6.6
Sijjin,Hadrah Daeng Ratu,Horor,Rapi Films,Bioskop,1854228.0,17+,2023-11-09,5.7
Aku Rindu,Key Mangunsong,Drama,Engingkeng Pictures,Bioskop,289771.0,SU,2023-11-09,
Gampang Cuan,Rahabi Mandra,Drama,Temata Studios,Bioskop,767249.0,13+,2023-11-16,8.3
Perjamuan Iblis,Kenny Gulardi,Horor,PIM Pictures,Bioskop,314672.0,17+,2023-11-16,6.3
Srimulat: Hidup Memang Komedi,Fajar Nugros,Komedi,IDN Pictures,Bioskop,159271.0,13+,2023-11-23,7.7
172 Days,Hadrah Daeng Ratu,Drama,Starvision Plus,Bioskop,3015020.0,13+,2023-11-23,6.8
Rumah Iblis,Bambang Drias,Horor,4ward Pictures,Bioskop,168317.0,13+,2023-11-23,
Jatuh Cinta Seperti di Film-film,Yandy Laurens,Drama,Imajinari,Bioskop,641269.0,13+,2023-11-30,8.7
Panggonan Wingit,Guntur Soeharjanto,Horor,Hitmaker Studios,Bioskop,1128376.0,13+,2023-11-30,6.5
Malam Para Jahanam,Indra Gunawan,Horor,Starvision Plus,Bioskop,301131.0,,2023-12-07,6.9
Rumah Masa Depan,Danial Rifki,Drama,Mizan Productions,Bioskop,27926.0,,2023-12-07,8.5
Kapan Hamil?,Rizal Mantovani,Komedi,MD Pictures,Prime Video,,17+,2023-12-14,5.7
Siksa Neraka,Anggy Umbara,Horor,Dee Company,Bioskop,1020930.0,17+,2023-12-14,5.4
Layangan Putus the Movie,Benni Setiawan,Drama,MD Pictures,Bioskop,803889.0,,2023-12-21,7.1
Hamka & Siti Raham Vol. 2,Fajar Bustomi,Drama,Falcon Pictures,Bioskop,319014.0,,2023-12-21,8.5
13 Bom di Jakarta,Angga Dwimas Sasongko,Laga,Visinema Pictures,Bioskop,317722.0,,2023-12-28,7.4
